,R,T,m,s,mutations,survival_mean,survival_var,absorption,fixation,generations,organism_count,l,correlation_length,correlation_time,seed,dfit,N,k,b,files,creature
1,18.618952643757265,3.560206687997725,0.15270170612443437,0.03132194673544217,230.0,200.0,1680.4,0.00035087719298245617,0.0,712.0,2.0,64.0,20.0,10000.0,109.0,-0.03078034377313088,10.0,1.0,1.0,two_depletion_nutrient_B_s109l64L20T10000N10_c2_parameters.csv,c2
1,13.718930427067132,10.0,0.11737751812938808,0.015,4.0,10000.0,0.0,0.00035087719298245617,1.0,29.0,2.0,64.0,30.0,1000.0,552.0,0.0,100000.0,1.0,1.0,two_depletion_nutrient_B_s552l64L30T1000N100000_c1_parameters.csv,c1
1,13.0,10.282196061101669,0.11701720647487408,0.015,4.0,10000.0,0.0,0.00035087719298245617,1.0,33.0,2.0,64.0,30.0,1000.0,197.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s197l64L30T1000N100_c2_parameters.csv,c2
1,5.128651354891679,9.02482239275803,0.150634035334119,0.03498842291403589,439.0,220.5,2950.65,0.00035087719298245617,0.0,617.0,2.0,64.0,20.0,10000.0,222.0,0.001531834465168913,100.0,1.0,1.0,two_depletion_nutrient_B_s222l64L20T10000N100_c2_parameters.csv,c2
1,33.84769005412262,12.342343085666469,0.03530122641830013,0.03357465596382095,187.0,10000.0,0.0,0.00035087719298245617,0.0,1125.0,2.0,64.0,20.0,10000.0,586.0,-16.547666666666373,100000.0,1.0,1.0,two_depletion_nutrient_B_s586l64L20T10000N100000_c2_parameters.csv,c2
1,9.447055225835857,9.099807462910274,0.1319819877702097,0.017124223598643868,6.0,10000.0,0.0,0.00035087719298245617,2.0,30.0,2.0,64.0,20.0,500.0,24.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s24l64L20T500N10_c2_parameters.csv,c2
1,15.390883109166555,8.749957488901321,0.15,0.023338044635204898,12.0,10000.0,0.0,0.00035087719298245617,1.0,74.0,2.0,64.0,20.0,1000.0,67.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s67l64L20T1000N10_c2_parameters.csv,c2
1,23.790836685496366,17.55578867098308,0.050859672840423156,0.01141615061263816,332.0,2103.6,5604049.639999999,0.00035087719298245617,0.0,722.0,2.0,64.0,15.0,10000.0,97.0,-0.0615525859934678,10.0,1.0,1.0,two_depletion_nutrient_B_s97l64L15T10000N10_c2_parameters.csv,c2
1,1.240190737580791,11.023541807784914,0.018664030492008706,0.016904510738203374,228.0,10000.0,0.0,0.00035087719298245617,231.0,958.0,2.0,64.0,20.0,10000.0,583.0,0.0,100000.0,1.0,1.0,two_depletion_nutrient_B_s583l64L20T10000N100000_c1_parameters.csv,c1
1,13.0,11.73565187130023,0.1088767117630472,0.015,3.0,10000.0,0.0,0.00035087719298245617,1.0,18.0,2.0,64.0,30.0,1000.0,196.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s196l64L30T1000N100_c2_parameters.csv,c2
