"","X","R","T","m","s","mutations","survival_mean","survival_var","absorption","fixation","generations","organism_count","l","correlation_length","correlation_time","seed","dfit","N","k","b","files","seed2","mean_mass","var_mass","mean_volume","var_volume","mean_density","var_density","mean_centroid_x","var_centroid_x","mean_centroid_y","var_centroid_y","mean_nutrient","var_nutrient","snap_centroid_x","snap_var_x","snap_centroid_y","snap_var_y","snap_mass","snap_volume","final_nutrient","snap_density","qualitative"
"30",29,11.4905099932384,10.9406697152059,0.135156427752574,0.02107994541975,9,10000,0,8.93e-05,7,49,1,64,20,100,29,0,10,1,1,"naive_nutrient_B_s29l64L20T100N10_parameters.csv",29,798.96204704122,4603.14959371876,879.7271,9172.29925551555,0.910591987932641,0.003862795195762,32.0386261955934,276821.178329241,30.9456242141243,271400.208307098,0.135156427752574,7.7e-34,32.470861396613,269207.326437367,31.1028796938532,264403.074895982,774.881273435207,852,0.135156427752574,0.909485062717379,"ringchains"
"31",30,15.340843254864,13.2207946228935,0.132989795118198,0.023696568657564,15,10000,0,8.93e-05,1,111,1,64,30,100,30,0,10,1,1,"naive_nutrient_B_s30l64L30T100N10_parameters.csv",30,754.337284031154,980.510800020294,778.6006,3469.11279091909,0.971079461904871,0.002585080428065,30.9700499904588,255599.540977767,30.9147702521155,260463.520811955,0.132989795118198,7.7e-34,31.0329206976754,255960.562674902,30.955839572912,261380.545717096,754.84797879391,771,0.132989795118198,0.979050556152931,"rings"
"32",31,13,6.82342400829143,0.124733709402846,0.019514927734959,6,10000,0,8.93e-05,3,19,1,64,30,100,31,0,10,1,1,"naive_nutrient_B_s31l64L30T100N10_parameters.csv",31,697.559041720111,1181.15555156419,736.4752,1625.75196015602,0.947405891317902,0.00210970313505,32.4411510366542,241072.616516634,32.2020405216256,235747.822705553,0.124733709402846,1.93e-34,32.4131551965561,241207.653742563,32.1769595077905,236265.646975184,696.706760898237,735,0.124733709402846,0.947900354963588,"rings"
"33",32,12.1146066341422,10,0.106062628588944,0.013488250694725,4,10000,0,8.93e-05,3,27,1,64,30,100,32,0,10,1,1,"naive_nutrient_B_s32l64L30T100N10_parameters.csv",32,584.435672395204,1948.12950894923,627.3486,2325.98287632763,0.93141520139819,0.003965293207768,31.4259234812234,193560.100138199,31.8658255285059,196742.354671324,0.106062628588944,7.7e-34,31.5524235613071,195031.269240294,31.9667668079279,198688.366921066,588.386245161867,618,0.106062628588944,0.952081302850918,"rings"
"34",33,12.7439278744464,13.5224430033848,0.102301830142708,0.015,10,10000,0,8.93e-05,2,51,1,64,30,100,33,0,10,1,1,"naive_nutrient_B_s33l64L30T100N10_parameters.csv",33,584.651859476447,1223.66882064533,623.1316,2900.17509894989,0.940109755353413,0.003391334775093,31.4893066084388,198449.596834394,30.4547243834723,202276.156420741,0.102301830142708,1.93e-34,31.5340145106335,199498.003741751,30.5458534870098,203319.364700232,586.943863039259,613,0.102301830142708,0.95749406694822,"rings"
"35",34,13,8.85418859661585,0.146256735369211,0.022683386129567,6,10000,0,8.93e-05,4,15,1,64,30,100,34,0,10,1,1,"naive_nutrient_B_s34l64L30T100N10_parameters.csv",34,793.909486571479,2530.19115207364,834.5263,4465.13422173217,0.951445840884671,0.00292660107768,30.9251723670302,265500.207646022,31.96239181226,274603.018894339,0.146256735369211,0,30.8834662405901,268004.133964257,32.0205098872192,276405.776653125,798.059545033175,828,0.146256735369211,0.963840030233303,"rings"
"36",35,13.5184878839776,10.6399222251553,0.097822542717647,0.015,5,10000,0,8.93e-05,0,30,1,64,30,100,35,0,10,1,1,"naive_nutrient_B_s35l64L30T100N10_parameters.csv",35,564.877910347512,814.637403856212,607.4191,2406.79213440344,0.931751603030113,0.002519804225706,31.33096910908,193124.43299309,30.6823590141741,189136.649305558,0.097822542717647,1.93e-34,31.3388791476192,193523.490579829,30.7497612050205,190423.792993053,565.497582474664,608,0.097822542717647,0.930094708017539,"rings"
"37",36,13.5323567795399,7.57671597206821,0.12953181287651,0.016829464794704,8,10000,0,8.93e-05,7,35,1,64,30,100,36,0,10,1,1,"naive_nutrient_B_s36l64L30T100N10_parameters.csv",36,758.726536844543,2272.27082375105,802.8298,2554.180249985,0.944759540451315,0.002715007502079,30.6947511863682,256402.542982522,32.2455320608143,260668.131465567,0.12953181287651,3.08e-33,30.6779330187678,258511.87911828,32.1729115988533,262646.030090447,763.063295918258,802,0.12953181287651,0.951450493663664,"ringchains"
"38",37,13,10,0.132578946065919,0.020703446314044,3,10000,0,8.93e-05,3,13,1,64,30,100,37,0,10,1,1,"naive_nutrient_B_s37l64L30T100N10_parameters.csv",37,727.696721039726,2447.11447677375,770.7544,2985.07618825883,0.943813900444165,0.003371072597906,31.2446399821976,250532.585276296,30.9325196269383,247842.829364335,0.132578946065919,3.08e-33,31.1994329152126,253457.063221095,31.0671003075255,251217.292970552,735.660048726757,771,0.132578946065919,0.954163487323939,"rings"
"39",38,13,12.2347270378252,0.117657787048249,0.016069550800662,6,10000,0,8.93e-05,3,32,1,64,30,100,38,0,10,1,1,"naive_nutrient_B_s38l64L30T100N10_parameters.csv",38,671.841919188096,1489.53408258124,715.5902,2426.53771773177,0.939786941024455,0.003124047016161,32.011783568462,232343.322133149,30.7405344163357,223052.927707551,0.117657787048249,1.73e-33,32.0116042625303,232008.96792286,30.7528232143497,222237.321232036,670.782597365892,715,0.117657787048249,0.938157478833416,"rings"
"40",39,13,10,0.118562888615127,0.015,2,10000,0,8.93e-05,3,10,1,64,30,100,39,0,10,1,1,"naive_nutrient_B_s39l64L30T100N10_parameters.csv",39,639.200904134039,1375.46621030422,693.8208,2224.05009236924,0.921825054498371,0.002580455831209,32.0829809395881,218398.455874175,31.8057548965822,217657.026942888,0.118562888615127,0,32.1625215309417,218797.060965019,31.7655805462218,218587.763283322,640.359255208097,695,0.118562888615127,0.921380223321003,"rings"
"41",40,20.5869081509051,11.2713959075057,0.084513878652948,0.020199676325928,40,8241.4,9892110.44,8.93e-05,5,703,1,64,10,1000,40,-0.06233333333239,10,1,1,"naive_nutrient_B_s40l64L10T1000N10_parameters.csv",40,1128.12050204068,244257.736628467,1279.365,339669.063881388,0.889920758144785,0.003741834180776,30.6894486442001,370621.213329422,31.3040664083801,384866.87232977,0.084513878652948,7.7e-34,30.5762201529719,297596.411877472,30.9456618868155,318057.277647676,927.131368008282,963,0.084513878652948,0.962753237807146,"rings"
