,R,T,m,s,mutations,survival_mean,survival_var,absorption,fixation,generations,organism_count,l,correlation_length,correlation_time,seed,dfit,N,k,b,files,creature,seed2,creature2,mean_mass,var_mass,mean_volume,var_volume,mean_density,var_density,mean_centroid_x,var_centroid_x,mean_centroid_y,var_centroid_y,mean_nutrient,var_nutrient,snap_centroid_x,snap_var_x,snap_centroid_y,snap_var_y,snap_mass,snap_volume,final_nutrient,snap_density
1,17.259789758672838,9.277079981719446,0.0914709027884104,0.01848717151842039,31.0,1049.7,8900913.809999999,8.928571428571429e-05,0.0,94.0,2.0,64.0,10.0,100.0,0.0,10.0,10.0,1.0,1.0,two_nutrient_B_s0l64L10T100N10_c1_parameters.csv,c1,0.0,c1,592.7950624769596,374.2960661317294,607.7351,3325.6356915591564,0.9791082886428681,0.002490959196523073,31.494647855545644,206238.38116725776,31.917805875882927,203197.4226804565,0.9999994023798227,1.9822221488021706e-09,31.71372184063414,206658.39290922583,31.784116846394745,204310.29291493728,593.1671648285942,615.0,1.0,0.9644994550058442
1,12.312738492581042,5.641248427349533,0.09147899693434988,0.018558562446518212,19.0,10000.0,0.0,8.928571428571429e-05,0.0,94.0,2.0,64.0,10.0,100.0,0.0,10.0,10.0,1.0,1.0,two_nutrient_B_s0l64L10T100N10_c2_parameters.csv,c2,0.0,c2,0.5088797278099791,78.81036746895471,1.8581,1102.772841674167,0.27761324591000763,0.0029710340852371836,23.252027040236168,8651.267141088096,18.34053223816978,44631.40227373468,-48.59925833899556,833.3356810710453,,,,,0.0,0.0,-98.59344418917466,
1,15.620045214567002,9.980788879531666,0.1611581938764004,0.025053016624519697,22.0,8002.1,15966417.690000001,8.928571428571429e-05,1.0,75.0,2.0,64.0,10.0,100.0,1.0,10.0,10.0,1.0,1.0,two_nutrient_B_s1l64L10T100N10_c1_parameters.csv,c1,1.0,c1,909.0886740781173,3635.0660014987375,940.0418,3562.4046932293227,0.9665506082483698,0.003178697518183733,31.504219934059975,312736.9855682648,31.65236465186528,310736.69485604553,0.9999480034086456,1.7674248949116437e-06,31.89652441388828,305842.181722076,31.53181688633181,305633.44326637755,894.4152942197888,950.0,1.0,0.9414897833892514
1,15.578649452720175,11.042506196268517,0.15,0.016057256081360705,7.0,59.8,664.76,8.928571428571429e-05,1.0,75.0,2.0,64.0,10.0,100.0,1.0,10.0,10.0,1.0,1.0,two_nutrient_B_s1l64L10T100N10_c2_parameters.csv,c2,1.0,c2,0.35030173730135894,35.1946021434066,0.9341,240.28078526852676,0.3402385941184128,0.010347640719444103,21.108459251354805,1939.8746122702828,43.81304173216915,1642.6843186216097,-48.715853672428324,833.3688085372369,,,,,0.0,0.0,-98.71037314079908,
1,12.900372768109523,8.441199307725391,0.11514936787259852,0.0211151210719046,12.0,10000.0,0.0,8.928571428571429e-05,5.0,56.0,2.0,64.0,10.0,100.0,2.0,10.0,10.0,1.0,1.0,two_nutrient_B_s2l64L10T100N10_c1_parameters.csv,c1,2.0,c1,667.679870495307,1030.4842091575272,701.7253,2391.2867685868587,0.9533209234188896,0.002889793907228272,31.424816306517908,228255.261371134,31.2988891522344,229193.76580613432,0.999965420225132,7.238900608773954e-07,31.400814127902464,230947.31899418237,31.15280523627491,231433.8135842358,672.8221457270809,705.0,1.0,0.9543576535135898
1,13.0,6.507534507457105,0.10956061299890088,0.017460994492006235,14.0,66.9,661.2900000000001,8.928571428571429e-05,5.0,56.0,2.0,64.0,10.0,100.0,2.0,10.0,10.0,1.0,1.0,two_nutrient_B_s2l64L10T100N10_c2_parameters.csv,c2,2.0,c2,1.3023699313158235,253.2200327005839,3.9368,2348.0410098609873,0.3293257042790551,0.0018767416166604145,20.515994649415823,7016.994200051286,27.208512724861606,32621.21346213494,-48.228107107430745,833.1058175152295,,,,,0.0,0.0,-98.2199657786469,
1,17.46629063042385,11.603902574697562,0.09455396960188787,0.015559370724342712,25.0,10000.0,0.0,8.928571428571429e-05,3.0,71.0,2.0,64.0,10.0,100.0,3.0,10.0,10.0,1.0,1.0,two_nutrient_B_s3l64L10T100N10_c1_parameters.csv,c1,3.0,c1,563.3875929704392,446.1897164569183,587.6788,3276.681498709871,0.9617169237803349,0.0022257700685590857,32.65685996553976,192810.65975078486,32.2413811444658,188098.7567669154,0.9999915371215822,7.151250801054953e-08,32.68704354422093,195065.9890566776,32.208896135197826,190614.82090879435,567.0914319514427,593.0,1.0,0.9563093287545408
1,13.0,9.787696535287559,0.15,0.016335760203939773,5.0,48.3,405.81000000000006,8.928571428571429e-05,3.0,71.0,2.0,64.0,10.0,100.0,3.0,10.0,10.0,1.0,1.0,two_nutrient_B_s3l64L10T100N10_c2_parameters.csv,c2,3.0,c2,0.2723906247860951,20.535100788706497,0.7482,152.2322199819982,0.34452457291584854,0.004847178449438128,35.147935531933285,1184.4017303654268,18.314696917402266,922.9068484965846,-48.738653477037126,833.3721291230769,,,,,0.0,0.0,-98.73320634348993,
1,8.96097593443161,13.633341555189226,0.11270160459847177,0.020475370623643692,15.0,1058.5,8883487.65,8.928571428571429e-05,4.0,73.0,2.0,64.0,10.0,100.0,4.0,10.0,10.0,1.0,1.0,two_nutrient_B_s4l64L10T100N10_c1_parameters.csv,c1,4.0,c1,0.19775275347705273,9.096417045251041,0.5859,85.58717990799082,0.3648275487131775,0.01289443712298558,24.383449249136874,670.4656493359983,9.440449594041477,2251.8210097597503,-48.77515146708742,833.3686941202644,,,,,0.0,0.0,-98.7696696269366,
1,11.813094132655674,9.74906455283148,0.09398542486514487,0.018045867373383,18.0,10000.0,0.0,8.928571428571429e-05,4.0,73.0,2.0,64.0,10.0,100.0,4.0,10.0,10.0,1.0,1.0,two_nutrient_B_s4l64L10T100N10_c2_parameters.csv,c2,4.0,c2,589.3742548729867,625.5353306537712,618.8869,2345.4196503550356,0.954367325156926,0.002235443570985031,32.10080303933041,200353.68264328243,31.03607375839139,204601.71902533574,0.9999578729913379,1.3887983978438925e-06,31.90460442747607,200865.4971769744,30.84057079788172,203512.3259799317,593.6381560680854,624.0,1.0,0.95134319882706
